,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
232,originalregister,,,,,,,,,,,registerversion som förvaltas av registrets ägare,,Klar,2019-12-10,FVM,"Exempel 1: Av WHO förvaltad version av ICD-10, ICF; av Socialstyrelsen förvaltad version av ICD-10-SE",,Från Termforum,23.9.2.2
233,masterdata,,,,,,,,,,,"datamängd som innehåller en organisations (3.3.1) centrala data (3.9.1) och som behöver användas av flera system, applikationer och processer (3.6.1)",,Klar,2019-12-10,Rikstermbanken/Skatteverket: Öppna företagsdata 2012,,,Från Termforum,23.9.2.3
234,grunddata,,,,,,,,,,,specifikation av innehållet i masterdata (23.9.2.3),,Klar,2019-12-10,FVM Informatikprojektet ,"Exempel 1  Identifiering av fysisk eller juridisk person, egendom, andra poster i masterdata.",,Från Termforum,23.9.2.4
235,referensdata,,,,,,,,,,,data (3.9.1) som definierar uppsättningen tillåtna värden som ska användas i ett datafält,,Klar,2019-12-10,FVM - Informatikprojektet ,Anmärkning 1 Referensdata begränsar innehållet i envalsfält och kan representera kodverk.,,Från Termforum,23.9.2.5
236,transaktionsdata,,,,,,,,,,,data (3.9.1) som beskriver en händelse,,Klar,2019-12-10,FVM - Informatikprojektet ,Anmärkning 1  En förändring till följd av en transaktion med tidsdimension.,,Från Termforum,23.9.2.6
237,metadata,,,,,,,,,,,data (3.9.1) som ger information om en eller flera aspekter av data (3.9.1),,Klar,2019-12-10,FVM - Informatikprojektet ,Anmärkning 1 Används för att underlätta spårandet av data.,,Från Termforum,23.9.2.7
238,dokumentation,,,,,,,,,,,insamling och sammanställning av information (3.9.5),,Klar,2019-12-10,"FVM, efter Rikstermbanken/språkrådet, reviderad","Anmärkning 1  Rikstermbanken redovisar förklaring (inte definition): ""insamling och sammanställning av fakta"" ur Språkrådets svensk-albanska tolklexikon. Ordet fakta finns inte definierat, men det som kan utväxlas om fakta är förstås just information, varför detta ord ersatt fakta när definitionen skrivits.",,Från Termforum,23.9.5.1
239,roll i hälso- och sjukvård,,,,,,,,,,,"funktion eller position i hälso- och sjukvård (3.1.1) som innehas av person (3.3.4), organisation (3.3.1) eller intressent (3.3.3)",,Klar,,,,,,25.2
240,dospatient,,,,,,,,,,,"patient (5.2.1) som får vissa av sina läkemedel (3.4.3) genom dosdispensering (27.2.1.5)

Alternativ definition  
patient som gett samtycke till att få vissa av sina läkemedel dosdispenserade samt till att ge förskrivare och legitimerad hälso- och sjukvårdspersonal tillgång till receptinformation som finns lagrad hos E-hälsomyndigheten (Socialstyrelsens termbank)",,Klar,2019-12-10,FVM,,,Från Termforum,25.2.1.1
241,patientuppgifter,,,,,,,,,,,information (3.9.5) som kan kopplas till enskild patient (5.2.1),,Klar,2019-12-10,FVM,"Anmärkning 1  Detta begrepp avser all typ av information, inte endast sådan som har bäring på hälso- och sjukvård.",,Från Termforum,25.2.1.2
242,anhörig,,,,,,,,,,,person (3.3.4) inom familjen eller bland de närmaste släktingarna,,Klar,2019-12-10,Socialstyrelsens termbank,"Anmärkning 1 Se termposten närstående för jämförelse mellan Contsys och FVM begreppssystem! Att skilja ut anhöriga från närstående kan t.ex. vara viktigt för rätten att ta del av patientens journal. En närstående kan vara en person patienten inte är släkt med men har stort förtroende för, medan en anhörig genom blodsband är bunden till patienten men av patienten inte alls godkänns för att ta del av journalinformation.",,Från Termforum,25.2.2.1
243,vårdgivare,,,,,,,,,,,"hälso- och sjukvårdsorganisation (5.2.3.1) som är juridisk person eller enskild näringsidkare

Alternativ definition  
1) statlig myndighet, landsting, kommun, annan juridisk person eller enskild näringsidkare som bedriver hälso- och sjukvårdsverksamhet (hälso- och sjukvårdslagen SFS 2017:30, 2 kap. 3§) 

2) statlig myndighet, landsting och kommun i fråga om sådan hälso- och sjukvårdsverksamhet som myndigheten, landstinget eller kommunen har ansvar för (offentlig vårdgivare) samt annan juridisk person eller enskild näringsidkare som bedriver hälso- och sjukvårdsverksamhet (privat vårdgivare) (Socialstyrelsens termbank)",,Klar,2019-12-10,VGR,"Anmärkning 1  Vårdgivare är alltid en organisation, kan aldrig vara en person. I ett enmansföretag är vårdgivaren firman och inte ägaren, fast ägaren är ensam agerande. Tillägget enskild näringsidkare (som inte är juridisk person) är nödvändigt, eftersom detta också är en firma som kan vara vårdgivare, där den ende ägaren till firman är hälso- och sjukvårdspersonal men inte kan definieras som vårdgivare annat än i sin näringsutövning. 

Anmärkning 2  Begreppet vårdgivare definieras här eftersom det har olyckligt hamnat på en plats i Contsys som inte stämmer med svensk lag. Där har termen hälso- och sjukvårdsutförare valts, tveklöst en tung term särskilt i sammansättningar, men det är alltid specialiseringar av det begreppet som instansieras. Begreppet vårdgivare är centralt i svensk lagstiftning och måste därför definieras korrekt. Definitionen i hälso- och sjukvårdslagen gör klart att vårdgivare alltid producerar hälso- och sjukvård. Definitionen i Socialstyrelsens termbank inkluderar ansvar för att hälso- och sjukvård tillhandahålls inom myndighetens jurisdiktion (t.ex. inom ett landstings geografiska område). Den definitionen överensstämmer med patientsäkerhetslagen (2010:659) och patientdatalagen (2008:355), båda 1 kap. 3§. Därmed inkluderas vad som i hälso- och sjukvårdslagen menas med huvudman: 2 kap. 2§ Med huvudman avses i denna lag det landsting eller den kommun som enligt lagen ansvarar för att erbjuda hälso- och sjukvård. Inom en huvudmans geografiska område kan en eller flera vårdgivare bedriva verksamhet. Se termposten huvudman.",,Från Termforum,25.2.3.1.1
244,vårdenhet,,,,,,,,,,,"administrativt avgränsad hälso- och sjukvårdsorganisation (5.2.3.1) som är del av en vårdgivare (25.2.3.1.1)

Alternativ definition  
organisatorisk enhet som tillhandahåller hälso- och sjukvård (Socialstyrelsens termbank). ",,Klar,2019-12-10,FVM,"Anmärkning 1  Vårdenheten är den administrativt avgränsade enheten, det man brukar kalla organisatorisk enhet. Avgränsningen av en vårdenhet beslutas av vårdgivaren eller enligt dess delegationsordning. En vårdgivare utför inte hälso- och sjukvård, utan det görs vid vårdenheterna, av vilka en vårdgivare måste ha minst en. En hälso- och sjukvårdspersonal är anställd hos vårdgivaren men arbetar vid vårdenheten. 

Anmärkning 2  Att termbankens definition inte används som huvuddefinition beror på att den saknar koppling till vårdgivare. En vårdenhet arbetar alltid under ett ansvar som åvilar vårdgivaren. 

Exempel 1 Sjukhus, primärvårdförvaltning, vårdcentral, vårdavdelning, laboratorium.",,Från Termforum,25.2.3.1.2
245,förvaltning,,,,,,,,,,,vårdenhet (25.2.3.1.2) som leds av en förvaltningschef,,Klar,2019-12-10,FVM ,"Anmärkning 1  Förvaltningscheferna är direkt underställda vårdgivarens chef och kan enligt delegation ha vårdgivares befogenheter och skyldigheter. Hos en privat vårdgivare med liten organisation kan förvaltning och vårdgivare sammanfalla. 

Exempel 1  Primärvårdsförvaltning, habiliteringsförvaltning (VGR Habilitering & hälsa), sjukhus.",,Från Termforum,25.2.3.1.2.1
246,område,,,,,,,,,,,vårdenhet (25.2.3.1.2) som leds av en områdeschef och är en del av en förvaltning (25.2.3.1.2.1),,Klar,2019-12-10,FVM ,Anmärkning 1 Inom en förvaltning kan finnas verksamhetsområden som grupperats i områden. Dessa kan vara administrativa (vanligt vid sjukhus) eller geografiska (primärvården).,,Från Termforum,25.2.3.1.2.2
247,verksamhet,verksamhetsområde,,,,,,,,,,vårdenhet (25.2.3.1.2) som leds av en verksamhetschef och är del av antingen ett område (25.2.3.1.2.2) eller en förvaltning (25.2.3.1.2.1),,Klar,2019-12-10,FVM ,"Anmärkning 1  Inom primärvården är verksamheten vanligen en vårdcentral, vid sjukhus ett verksamhetsområde. Detta är den högsta medicinskt ansvariga hälso- och sjukvårdsorganisationen. Ett verksamhetsområde kan vara en del av ett område inom ett sjukhus varvid verksamhetschefen administrativt är underställd en områdeschef. Om sjukhuset inte är indelat i områden är verksamhetschefen direkt underställd förvaltningschefen/sjukhusdirektören. 

Anmärkning 2  Enligt Hälso- och sjukvårdslagen (2017:30) 3 kap. 2 och 3§§ skall det finnas en verksamhetschef där det bedrivs hälso- och sjukvård. Detta är den medicinskt högst ansvariga befattningshavaren. Om verksamhetschefen inte är läkare ska det finnas en medicinskt ledningsansvarig läkare som övertar verksamhetschefens medicinska ansvar.",,Från Termforum,25.2.3.1.2.3
248,enhet,,,,,,,,,,,[hälso- och sjukvårdens organisation] vårdenhet (25.2.3.1.2) som leds av en enhetschef och utgör en del av en verksamhet (25.2.3.1.2.3),,Klar,2019-12-10,FVM utgående från Katalog i väst,"Anmärkning 1     En enhet kan vara en avdelning inom en vårdcentral, t.ex. barnavårdscentral, eller en vårdavdelning vid sjukhus. Vid vårdavdelningen förekommer olika titlar för chefen: avdelningschef, vårdenhetschef, avdelningsföreståndare. Titeln vårdenhetschef föranleder inte att avdelningen får kallas vårdenhet eftersom detta är ett överordnat begrepp som inrymmer alla nivåer under vårdgivare. 

Anmärkning 2     Enhet är en homonym eftersom den är organisatoriskt fastställd i betydelsen enligt denna termpost men också betecknar mått inom laboratoriemedicinen. Exempel 1     Barnavårdscentral vid vårdcentral, vårdavdelning vid sjukhus, radiologisk avdelning vid verksamhetsområde för bild- och funktionsmedicin.",,Från Termforum,25.2.3.1.2.4
249,"underenhet
",lägre enhetsnivå (KIV),,,,,,,,,,vårdenhet (25.2.3.1.2) som är del av en enhet (25.2.3.1.2.4),,Klar,2019-12-10,FVM,"Exempel 1     Del av avdelning (t.ex. för viss medicinsk specialitet om avdelningen betjänar flera specialiteter), teammottagning för viss diagnos (del av öppenvårdsenhet), sektion för datortomografi vid radiologisk enhet.",,Från Termforum,25.2.3.1.2.5
250,remittent,,,,,,,,,,,aktör som utfärdar vårdbegäran (11.3),,Klar,2019-12-10,FVM,,,Från Termforum,25.2.3.3.1
251,förskrivare,,,,,,,,,,,"person (3.3.4) behörig att utfärda recept (29.2.9.2.2), livsmedelsanvisning (29.2.9.3), hjälpmedelskort (29.2.9.4) eller dosrecept (29.2.9.2.3)",,Klar,2019-12-10,Socialstyrelsens termbank,,,Från Termforum,25.2.3.3.1.1
252,god man,,,,,,,,,,,"person (3.3.4) ) som är utsedd att företräda en viss person (3.3.4) som på grund av sjukdom (26.4.2.5.3), psykisk störning, försvagat hälsotillstånd eller liknande förhållande behöver hjälp med att bevaka sin rätt, förvalta sin egendom eller sörja för sin person utan att dennes rättshandlingsförmåga begränsas",,Klar,2019-12-10,Socialstyrelsens termbank,,,Från Termforum,25.2.4.3.1
253,förvaltare,,,,,,,,,,,person (3.3.4) som är utsedd att företräda en viss person (3.3.4) som är ur stånd att vårda sig själv eller sin egendom och där dennes rättshandlingsförmåga är begränsad,,Klar,2019-12-10,Socialstyrelsens termbank. ,,,Från Termforum,25.2.4.3.2
254,vårdnadshavare,,,,,,,,,,,förälder eller av domstol särskilt utsedd person (3.3.4) som har att utöva vårdnaden om ett barn (23.3.4.1),,Klar,2019-12-10,Socialstyrelsens termbank,"Anmärkning 1     Ett barn ska alltid ha en eller två vårdnadshavare. Om detta stadgar föräldrabalken. Det är vanligen föräldrarna men kan också vara endera av dem om de är ogifta eller skilda (6 kap. 3 §). Om ingendera föräldern är vårdnadshavare förordnas särskild sådan (en eller två, samma lagrum). Vårdnadshavare är vanligen förmyndare för barnet, men det kan förekomma att särskild förmyndare förordnas (10 kap. 2 och 3 §§).",,Från Termforum,25.2.4.3.3
255,förmyndare,,,,,,,,,,,person (3.3.4) som utövar förmynderskap (23.8.3),,Klar,2019-12-10,Socialstyrelsens termbank ,Anmärkning 1     Om förmyndare se föräldrabalken 10 kap. 2 och 3 §§ och anmärkning 1 under vårdnadshavare (25.2.4.3.3)!,,Från Termforum,25.2.4.3.4
256,befolkningsurval,,,,,,,,,,,grupp av personer (3.3.4) med ett eller flera gemensamma kännetecken,,Klar,2019-12-10,FVM,"Förklaring     Begreppet används för att definiera befolkningshälsa.
 
Exempel 1     Rökare som bor i Ånge, 2013 års män (gammal befolkningsstudie i Göteborg), kvinnor i åldern 40-70 år, patienter som opererats med höftprotes, alla som drabbats vid en viss trafikkatastrof, hundägare, Sveriges invånare.",,Från Termforum,25.3
257,hälsa,,,,,,,,,,,"fysiskt, psykiskt och socialt välbefinnande, och inte endast frånvaro av sjukdom (26.4.2.5.3) eller skada (26.4.2.5.4)",,Klar,2019-12-10,"Socialstyrelsens termbank (bygger på WHO:s definition ""tillstånd av fullständigt fysiskt, psykiskt och socialt välbefinnande, inte endast frånvaro av sjukdom och funktionsnedsättning"")",Anmärkning 1     Hälsa är ett abstrakt begrepp som inte instansieras själv utan endast genom sina specialiseringar.,,Från Termforum,26.1
258,symtom,symptom,,,,,,,,,,sjukdomsyttring som uppfattas av patienten (5.2.1),,Klar,2019-12-10,Rikstermbanken/Språkrådets svensk-albanska tolkordlista 2003,"Anmärkning 1     Rikstermbankens hela definition är ""sjukdomsyttring som uppfattas av den sjuke, dvs. ett obehag eller lidande som sjukdomen framkallar; symtom är subjektiva, till skillnad från sjukdomstecken"". Texten efter ""den sjuke"" är snarast en kommentar/anmärkning. ""Den sjuke"" byts i detta sammanhang mot detta begreppssystems ""patient"". 

Anmärkning 2     Enligt SAOL är stavningen symptom likvärdig med symtom. I FVM fastställs stavningen till symtom.",,Från Termforum,26.4.1.3
259,arbetsdiagnos,,,,,,,,,,,diagnos (26.7) som beskriver hälsotillståndet (6.4) vid bedömning (27.2.7.2.2) under pågående hälso- och sjukvårdsprocess (8.2),,Klar,2019-12-10,FVM,Anmärkning 1   Termen arbetsdiagnos har använts i FVM till dess Contsys SE blev tillgängligt. Definitionen är enklare men täcker in det väsentliga i den preliminära bedömningen. ,,Från Termforum,26.4.2.1.1
260,ohälsa,,,,,,,,,,,av patienten (5.2.1) upplevt dåligt hälsotillstånd (6.4),,Klar,2019-12-10,FVM ,"Anmärkning 1     Ohälsa används ofta om sjuktal i befolkningen men förekommer även individuellt. Det betyder att individen mår dåligt, sjuk eller inte. Begreppet förekommer ofta om psykiskt lidande men får inte begränsas till detta. Med omsorg om patienten får inte endast missförhållanden som noteras i hälsotillståndet åtgärdas, utan även ohälsa ska hanteras.",,Från Termforum,26.4.2.5.1
261,funktionsnedsättning,,,,,,,,,,,"nedsättning av fysisk, psykisk eller intellektuell funktionsförmåga",,Klar,2019-12-10,Socialstyrelsens termbank,,,Från Termforum,26.4.2.5.2
262,sjukdom,,,,,,,,,,,störning av kroppens struktur och funktion till följd av onormala kroppsinterna fenomen,,Klar,2019-12-10,FVM,"Anmärkning 1     Det finns ingen auktoriserad definition av sjukdom, däremot används ""sjukdom och skada"" som parbegrepp när man vill beskriva att patienten inte mår bra och vad som ska göras åt det. Vi tvingas då definiera dessa båda begrepp som på hyggligt sätt är åtskilda i ICD-10-SE. 

Exempel 1     Autoimmun sjukdom, tumörer, infektioner, hjärt-kärlsjukdom, psykos.",,Från Termforum,26.4.2.5.3
263,skada,,,,,,,,,,,[hälso- och sjukvård] störning av kroppens struktur och funktion till följd av yttre påverkan,,Klar,2019-12-10,FVM,"Anmärkning 1     Se anmärkning till sjukdom (26.4.2.5.3)! Om kroppens struktur och funktion störs av yttre faktorer kallar vi det skada.
 
Anmärkning 2     Inom yrkesmedicinen finns fall där gränsdragning mellan skada och sjukdom är svår. Hjärtinfarkt på grund av stress, MS eller Parkinsons sjukdom efter giftexposition: är det skada eller sjukdom? Exakt samma mekanismer i kroppen finns som erkända kroppsinterna processer.

Exempel 1     Benbrott, förgiftning, arbetsskada i form av reaktion på tungmetallexposition, strålskada.",,Från Termforum,26.4.2.5.4
264,hälsostatusutfall,,,,,,,,,,,hälsostatus (6.5) som är resultat av ett eller flera hälso- och sjukvårdsaktivitetselement (28),,Klar,2019-12-10,FVM i arbetet med att harmonisera till Contsys SE,,,Från Termforum,26.5.2.1
265,populationshälsa ,,Engelsk term: population health,,,,,,,,,definierad uppsättning av hälsostatus (6.5) i ett befolkningsurval (25.3),,Klar,2019-12-10,FVM,"Anmärkning 1     Den mest använda termen är population health. Det finns flera definitioner. Den här formulerade definitionen bygger på studier av flera publikationer i ämnet, där Region Skånes (odaterade) broschyr om upphandlingsprojektet ""Sammanhållen digital vårdmiljö"" använder termen befolkningshälsa. Den av oss föredragna termen populationshälsa har valts eftersom en population på tydligare sätt är ett definierat befolkningsurval än en befolkning. 

Anmärkning 2     Populationshälsa skiljer sig från det vedertagna begreppet folkhälsa i huvudsak på två sätt. Det ena är att ett befolkningsurval definieras och avgränsas med en tydlig uppsättning av egenskaper, medan folkhälsa vänder sig till en bred publik. Det andra är att tyngdpunkten i arbete med populationshälsa ligger i studium av befolkningsurvalets hälsotillstånd, medan folkhälsoarbetet mera inriktar sig på aktiviteter och förslag till aktiviteter i avsikt att främja hälsa och förebygga sjukdom i en stor befolkning. Folkhälsoarbete drar emellertid stor nytta av det som görs i populationshälsan, och slutsatser av arbete med populationshälsa kan föranleda riktade aktiviteter som kan inkluderas i begreppet populationshälsa.",,Från Termforum,26.5.4
266,diagnos,,,,,,,,,,,"sammanfattande kortfattad beskrivning av en patients (5.2.1) hälsotillstånd (6.4) sådant det uppfattats av hälso- och sjukvårdspersonal (5.2.3.3)

Alternativ definition     
bestämning och benämning av sjukdom, skada, störning eller förändring i kroppsfunktion (Socialstyrelsens termbank)",,Klar,2019-12-10,FVM,"Anmärkning 1     Socialstyrelsens definition hänför sig till störningar i hälsotillståndet. En diagnos är emellertid också att en person är helt frisk, och omständigheter kring detta fynd kan kodas enligt ICD-10-SE, ICF, Snomed CT eller andra kodlistor. Varje diagnos ska kunna kodas, och därför har definitionen vidgats.  

Anmärkning 2     Observera att det är hälsotillståndet som ligger till grund för diagnosen, inte endast sjukdom eller skada.",,Från Termforum,26.7
267,diagnoskod,,,,,,,,,,,statistisk kod för klassificering av sjukdom (26.4.2.5.3) och relaterade hälsoproblem (6.4.2.5),,Klar,2019-12-10,Socialstyrelsens termbank,"Anmärkning 1     Diagnoskoden har tre funktioner. Den första är att ligga till grund för olika sekundärklassificeringar, till exempel DRG (Diagnosis Related Groups) och ACG (Adjusted Clinical Groups), vilka bland annat används vid beräkningen av ersättningar inom olika delar av hälso- och sjukvård. Den andra är statistisk. Diagnoskoder rapporteras till Socialstyrelsen enligt gällande författning, där de bearbetas till statistik över sjukdomsförekomst i befolkningen. Den tredje är forskning och utveckling. Genom att korsreferera diagnoskoder med åtgärdskoder och läkemedelskoder kan grad av framgång för viss behandling vid viss sjukdom mätas till grund för beslutsstöd och kunskapsspridning. 

Anmärkning 2     I informationsmodellen beskrivs diagnoskoden som dels ett kodvärde, dels en text. Denna text hämtas ur diagnosklassifikationen och får inte användas som diagnos (2.2.4) eftersom den inte alls kan vara lika detaljerad som diagnosens text.",,Från Termforum,26.7.1
268,kodverk,,,,,,,,,,,förteckning över koder,,Klar,2019-12-10,FVM,"Förklaring   Avser varje förteckning över koder oberoende av var kodlistan förvaltas

Exempel 1   ICD-10-SE, KVÅ, ICF, Snomed CT, kodlista över kön, hjälpmedel, besökstyper",,Från Termforum,26.7.2
269,kodsamband,,,,,,,,,,,"logiskt samband mellan diagnoskod (26.7.1) , åtgärdskod (27.3) och ATC-kod (27.8.5) i ett visst skede av vårdprocessen (8.2).",,Klar,2019-12-10,FVM,"Förklaring     Begreppet står för resultatet av en teknisk/logisk operation som skapar möjlighet till registrering av hur olika kombinationer av hälsotillstånd, aktiviteter och läkemedel förekommit. Detta samband ska användas i beslutsstödet för att stämmas av mot behandlingsresultat och eventuella avvikelser i syfte att bidra till handläggningsrekommendationer",,Från Termforum,26.7.3
270,läkemedelsadministrering,,,,,,,,,,,tillförsel av läkemedel (3.4.3) till kroppen,,Klar,2019-12-10,Socialstyrelsens termbank,,,Från Termforum,27.2.1.1
271,iordningställande av läkemedel,,,,,,,,,,,färdigställande av ett ordinerat läkemedel (3.4.3) inför läkemedelsadministrering (27.2.1.1),,Klar,2019-12-10,"HSLF-FS 2017:37, reviderad ","Anmärkning 1   Ordet läkemedelsadministrering används i definitionen i stället för administrering, som inte är definierat i termbanken",,Från Termforum,27.2.1.2
272,läkemedelsbehandling,,,,,,,,,,,vårdprocess (8.2) som består av en eller flera läkemedelsadministreringar (27.2.1.1),,Klar,2019-12-10,FVM,,,Från Termforum,27.2.1.3
273,läkemedelsexpediering,,,,,,,,,,,utlämning av läkemedelsvara (27.8.3),,Klar,2019-12-10,FVM enligt beskrivning i Socialstyrelsen (som inte definierar detta begrepp) ,Anmärkning 1     Om flera läkemedelsvaror av samma läkemedelsprodukt lämnas ut rör det sig om en läkemedelsexpediering omfattande flera expedieringsdelar. Om flera olika läkemedelsprodukter lämnas ut rör det sig om flera läkemedelsexpedieringar.,,Från Termforum,27.2.1.4
274,dosdispensering,,,,,,,,,,,[inom apoteket] uttag ur tillverkarens originalförpackning och färdigställande av läkemedelsprodukter (6.1.3.2) för varje doseringstillfälle till patient (2.1.1),,Klar,2019-12-10,Socialstyrelsens termbank reviderad ,"Anmärkning 1     Socialstyrelsens definition: (inom apoteket:) uttag ur tillverkarens originalförpackning och färdigställande av läkemedelsprodukter för varje doseringstillfälle till enskild person. Eftersom personen i fråga får läkemedel som ordinerats av hälso- och sjukvårdspersonal och expedieras av hälso- och sjukvårdspersonal vid apotek bedöms personen vara patient, vilket bör föranleda ändring av termbankens definition.",,Från Termforum,27.2.1.5
275,läkemedelsavstämning ,,,,,,,,,,,kartläggning av patientens (5.2.1) aktuella läkemedelsbehandling (27.2.1.3),,Klar,2019-12-10,Region Skåne,,,Från Termforum,27.2.1.6
276,läkemedelsnära produkt,,,,,,,,,,,"produkt inom områdena nutrition, inkontinens blås- och tarmdysfunktion, stomi och diabetes",,Klar,2019-12-10,Vårdsamverkan Västra Götalandsregionen,,,Från Termforum,27.2.2
277,livsmedel för särskilda näringsändamål,,,,,,,,,,,"livsmedel som till följd av särskild sammansättning eller tillverkningsmetod är lämpliga för spädbarn och barn (3.3.4.5) upp till tre år, personer (3.3.4) i behov av särskild kost samt personer (3.3.4) som kan ha nytta av ett kontrollerat intag av särskilda ämnen i kosten",,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,27.2.3
278,egenvårdsaktivitet,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) som patient (5.2.1) själv utför efter ordination (29.2.9) av hälso- och sjukvårdspersonal (5.2.3.3),,Klar,2019-12-10,FVM,"Anmärkning 1     Socialstyrelsens definition av egenvård i SOSFS 2009:6 avser ordination av egenvård. När den utförs av patienten kallas den i detta begreppssystem egenvårdsaktivitet.

Exempel 1     Konditionsträning efter fysisk aktivitet på recept. Självadminstrering av förskrivet läkemedel. Vårdåtgärder, förebyggande åtgärder etc. som patienten företar sig på eget initiativ utan att ha fått ordination av hälso- och sjukvårdspersonal exkluderas i föreskriften.",,Från Termforum,27.2.4.1
279,annan vårdares aktivitet,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) som utförs av annan vårdare (5.2.4.1),,Klar,2019-12-10,FVM,,,Från Termforum,27.2.5.1
280,preoperativ bedömning,,,,,,,,,,,bedömning (27.2.7.2.2) av patientens (5.2.1) hälsotillstånd (6.4) med särskild inriktning på risktillstånd (6.4.2.4) av betydelse för anestesi och kirurgiskt ingrepp,,Klar,2019-12-10,FVM,,,Från Termforum,27.2.7.2.1
281,bedömning,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) som innebär värdering av information (8.2) om aktuellt hälsotillstånd (4.2),,Klar,2019-12-10,3R Contsys reviderad ,Anmärkning 1     Avser bedömning av hälsotillståndet vid vilken tidpunkt som helst under vårdprocessen.,,Från Termforum,27.2.7.2.2
282,utvärdering,,,,,,,,,,,bedömning (27.2.7.2.2) av utfallet av en hälso- och sjukvårdsaktivitet (7.2) jämfört med aktivitetsmålet (40.4),,Klar,2019-12-10,FVM efter formulering i 3R Contsys ,Anmärkning 1     Utvärderingen är en kvalitetskontroll där man bedömer i vilken utsträckning en aktivitet fått önskad effekt.,,Från Termforum,27.2.7.2.3
283,enhet,,,,,,,,,,,[laboratorieverksamhet] fastlagt jämförelsevärde av en storhet,,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,27.2.7.2.4
284,utvärdering av utfall av klinisk process,,,,,,,,,,,utvärdering inom hälso- och sjukvård (7.2.7.7) där effekterna av en klinisk process (8.2.1) på ett hälsostatus (6.5) bedöms i förhållande till måltillståndet (6.4.2.2) och/eller ett hälsotillstånd (6.4) som representerar hälsostatuset som underlag (6.5.1) /input,,Klar,2019-12-10,FVM ,"Förklaring     Utöver den utvärdering som definieras i Contsys (7.2.7.7, 7.2.7.7.1) anser FVM det angeläget att utvärdering kan göras på så sätt att utfallet av den kliniska processen ställs mot avsikten med den, vilket ger ett kvalitetsmått. ",,Från Termforum,27.2.7.7.2
285,automatisk hälso- och sjukvårdsaktivitet,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) som efter programmering gjord av hälso- och sjukvårdspersonal (2.1.3) utförs av automatisk medicinteknisk produkt (6.5.2.3.3.1),,Klar,2019-12-10,FVM,,,Från Termforum,27.2.8.1
286,resurskatalog,,,,,,,,,,,förteckning över hälso- och sjukvårdsresurs (7.2.9) vid en vårdenhet (25.2.3.1.2),,Klar,2019-12-10,FVM,"Anmärkning 1     Vårdenhet har sin breda betydelse – från sjukhus/primärvårdförvaltning till vårdavdelning, laboratorium, BVC. Man måste känna till resurskatalogen när man ska lägga upp en utbudskatalog.",,Från Termforum,27.2.9.1
287,åtgärdskod,,,,,,,,,,,kod för statistik avseende hälso- och sjukvårdsaktiviteter (7.2),,Klar,2019-12-10,FVM ,Anmärkning 1     Klassifikation av vårdåtgärder.,,Från Termforum,27.3
288,"egenmakt
",empowerment,Eng term: empowerment,,,,,,,,,förmåga att ta kontroll över sin situation och uppnå sina mål,,Klar,2019-12-10,FVM ,"Anmärkning 1     Låneordet empowerment är rikt använt när man önskar betona vikten av patientens delaktighet och den enskildes bestämmanderätt men också stärkning av självförtroende och i förlängningen rättshandlingsförmågan. I kärnsystemet bör begreppet betecknas med ett ord på svenska språket. Många definitioner och beskrivningar finns, bl.a. ""tilltro till egen förmåga"" och ""människans inneboende kraft"". Båda dessa synes spegla endast ett par av aspekterna på egenmakt.",,Från Termforum,27.4
289,arbetstid,,,,,,,,,,,tid som hälso- och sjukvårdspersonal (5.2.3.3) lägger ner på en hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,FVM ," Anmärkning 1     Nytt begrepp, se hälso- och sjukvårdsresurs 7.2.9",,Från Termforum,27.5.1
290,arbetskostnad,,,,,,,,,,,vårdgivarens (25.2.3.1.1) kostnad för hälso- och sjukvårdspersonalens (5.2.3.3) arbetade tid,,Klar,2019-12-10,FVM ,"Anmärkning 1     Arbetskostnad är väsentlig att räkna ut som en del av hälso- och sjukvårdens finansieringsbehov. För en enskild hälso- och sjukvårdspersonal är årskostnaden detsamma som bruttolönen per år plus lönebikostnader och individkopplade personalkostnader (sjuklön, utbildning etc.). I en hälso- och sjukvårdsprocess kan den totala kostnaden för ingående arbete räknas ut, och denna kostnad kan med hjälp av registrerad arbetstid brytas ner på enskilda hälso- och sjukvårdsaktiviteter.",,Från Termforum,27.5.1.1
291,lokaltid,,,,,,,,,,,tid som en vårdlokal (7.2.9.1) utnyttjas för en hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,FVM ,"Exempel 1     Salstid vid operationsavdelning, antal vårddygn som används för en enskild patient under ett vårdtillfälle, tid som ett radiologiskt laboratorium behöver reserveras för en undersökning.",,Från Termforum,27.5.2
